,epoch,time,train_auc,test_auc
0,0,0.3981497287750244,0.4479511325209906,0.3790727487563515
1,100,5.699781894683838,0.7777775619523796,0.6240576008243386
2,200,10.990471839904785,0.5332383606996498,0.6575554610443364
3,300,16.21187162399292,0.31979961824184466,0.8267790952892639
4,400,21.492928743362427,0.5936857012285848,0.6490295140555119
5,500,26.850821256637573,0.6800229139503622,0.6667664052762351
6,600,32.15827822685242,0.4257036079953146,0.7190016478825618
7,700,37.42127847671509,0.7656574653850456,0.5108795586242428
8,800,42.81199884414673,0.4759813623848421,0.5298538254356873
9,900,48.106215953826904,0.6375498763036713,0.6351952670788777
10,1000,53.46514701843262,0.7806424661217755,0.2425314809134384
11,1100,58.795565128326416,0.5828357207921684,0.3432102680166716
12,1200,64.18851089477539,0.5706421833991024,0.48392361026166014
13,1300,69.40275740623474,0.3189880880889557,0.4490803765644795
14,1400,74.73154306411743,0.43357008777610345,0.6253208310881692
15,1500,80.03345346450806,0.6136694374520455,0.5369706038744163
16,1600,85.32688856124878,0.5809175325822402,0.46361426793219696
17,1700,90.6963415145874,0.3984333836249504,0.4927362273421375
18,1800,96.0028817653656,0.507298098865436,0.3521699420449677
19,1900,101.29849624633789,0.5850762051105528,0.5150243774125713
