,epoch,time,train_auc,test_auc
0,0,0.06802868843078613,0.45170158291678175,0.759608361817384
1,100,4.737948417663574,0.8473925282382169,0.8453889502584526
2,200,9.445075988769531,0.864942821918973,0.8635831649590873
3,300,14.02415156364441,0.8723042909047085,0.8714468120341219
4,400,18.74802327156067,0.8765289544131357,0.876036335381843
5,500,23.46691584587097,0.8794804062869267,0.8792196802467999
6,600,28.111886501312256,0.8817413905786899,0.8816516818292354
7,700,32.82195329666138,0.883587061454829,0.8836124341636312
8,800,37.50650668144226,0.8851290298815164,0.8852447286472078
9,900,42.244797706604004,0.88645627869274,0.8866360822506885
10,1000,46.979939460754395,0.8876073572281458,0.8878290250226816
11,1100,51.68729758262634,0.888621397813914,0.8888886275193669
12,1200,56.42834520339966,0.8895284242565322,0.8898310214676378
13,1300,61.09285831451416,0.8903371142847591,0.890661549260523
14,1400,65.76411890983582,0.8910610726374393,0.8914023541239195
15,1500,70.43381214141846,0.8917114353892017,0.8920534569673901
16,1600,75.12040424346924,0.8923002672657911,0.8926616533901403
17,1700,79.86153554916382,0.8928312158024225,0.8931921185170687
18,1800,84.61572551727295,0.8933042655215779,0.8936814754455881
19,1900,89.40245223045349,0.8937385930687958,0.894117303896016
